trial_number,ganancia,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,num_boost_round,pos_bagging_fraction,neg_bagging_fraction
1,379200000.0,148,0.13615027465771248,27,0.31272503441206234,0.30657979190898216,0.4438623787725232,2.8884400465635696,621,0.6444156692202418,0.6088054642658542
2,371200000.0,276,0.09649421737716696,31,0.515661789359063,0.5793285649232586,2.376407136121176,1.0799190499778795,707,0.39505067454151777,0.46994702528998544
3,369600000.0,138,0.04346418631378818,28,0.460955143590563,0.2910469352255838,1.3017397780600533,1.4152470589168564,653,0.31670656514700773,0.1060073541225128
4,376000000.0,128,0.10716757717978011,37,0.34978841709902486,0.5685034129481171,4.384125992400621,2.6705034592382586,748,0.29739873371728837,0.7542083471649771
5,376000000.0,79,0.11494594277725051,39,0.30588801429792356,0.35316657708093735,4.332578989043289,1.7588565101197702,378,0.46768338384025254,0.4674001048090891
6,380800000.0,268,0.011180284830486494,46,0.531067705105063,0.7327249511410237,4.333593672326327,2.0864145720115497,440,0.23258668306291702,0.14997385153405543
7,382400000.0,215,0.01826332753424876,9,0.5060962851196157,0.39961048669336546,2.6883367633822135,0.9014288591143033,503,0.2981771679648009,0.774197731189912
8,373600000.0,343,0.021480643761758646,3,0.49095574062939307,0.47638330444633425,3.901843576537991,3.2823396015864548,493,0.5017500165581569,0.7418337754571463
9,375200000.0,37,0.013608615128955927,29,0.4539774650339088,0.42623494857323485,1.6739697361441452,0.12236755770830221,446,0.9468019129031721,0.3361862907617638
10,368800000.0,187,0.12387161841925326,10,0.25684422786971184,0.7260095545807829,1.93602625853943,2.7713763266113958,380,0.27576851132543323,0.22192718355707614
11,372800000.0,206,0.17237252090373884,16,0.6953533320922379,0.40273002905027244,3.3724298861463966,4.957825055853701,202,0.10733693246907688,0.9564006586682611
12,376000000.0,255,0.06641192589635092,50,0.6413386876077767,0.7908977823005774,3.1325415864310746,0.2753047532822246,567,0.12434532926785521,0.9356461016852357
13,380000000.0,270,0.05819190636048334,18,0.6130812673468329,0.7127124784608881,4.910379910133791,1.8923937361873024,278,0.6510798524327912,0.7358692536503911
14,370400000.0,344,0.005190572333662297,48,0.5980997543107807,0.6449965161746851,3.0359801221723033,3.8069347504946576,538,0.2111132496825218,0.6005638888090787
15,379200000.0,216,0.040776488664139986,19,0.759549550377007,0.5047304332120223,0.8758783649383712,0.8166858649572559,383,0.8400676262329785,0.8500474119125604
16,365600000.0,309,0.07954582998482214,3,0.3990994036919303,0.6354297052028115,2.5935432492532766,2.053051137526484,457,0.3827162631472836,0.34079606097654647
17,375200000.0,238,0.03279912880647151,41,0.5670807628840445,0.3893978391331092,4.983458817235915,0.741590272276252,309,0.5947860400741669,0.19647989263621377
18,370400000.0,298,0.18168515519827946,11,0.40076349023641383,0.2538522479080188,3.831073864048278,3.77270772593649,595,0.17918751170635577,0.6773780375490068
19,371200000.0,168,0.15082805031797505,44,0.5563675358597581,0.46422792623872283,0.09234362855604461,2.2223888632839794,491,0.3950361178320126,0.45709035706824563
20,368800000.0,99,0.08380883450348602,33,0.6941626669999323,0.7955848846770807,2.4044564028669693,1.3894004144253032,792,0.7500567605452187,0.3278520725920685
21,360800000.0,228,0.19907810067254067,10,0.4248628243137611,0.5578618438623361,3.6811797210428585,0.48456688012631133,424,0.2285536349957711,0.8699732665594461
22,379200000.0,271,0.055299231530847676,21,0.6155748368818932,0.71445152758302,4.973418013892689,1.6713399298796197,261,0.6144011131522361,0.7885183943297186
23,380800000.0,303,0.03266938755763765,22,0.541128409327954,0.7169475051142348,4.455000052550446,2.1753909909169575,299,0.506651590009084,0.6937008939359545
24,376800000.0,304,0.025542547426322414,23,0.5151166600285055,0.6346694716258984,4.37436698713173,2.4686960307036756,312,0.5168486809089677,0.5950517699243235
